MYYYY_generation,price_per_sq_m,price_direction,date_of_data_generation,id,isExclusiveness,isNew,livingArea,price,num_rooms.x,zipCode,deposit_rate,lagged_CPI,volatility_value,City,num_rooms_categorical,nr_weeks
Jun-22,2500,Stayed the same,26/06/2022,186161459,FALSE,FALSE,50,125000,3,38210,-0.5,5.2,28.76,Grenoble,medium,1
Jun-22,2500,Stayed the same,26/06/2022,186161457,FALSE,FALSE,50,125000,3,38210,-0.5,5.2,28.76,Grenoble,small,1
Jun-22,2238.80597,Stayed the same,26/06/2022,186246663,TRUE,FALSE,67,150000,3,38500,-0.5,5.2,28.76,Grenoble,small,1
Jun-22,2407.35337,Stayed the same,26/06/2022,172930397,FALSE,FALSE,68.54,165000,3,38000,-0.5,5.2,28.76,Grenoble,small,1
Jun-22,2236.421725,Stayed the same,26/06/2022,181602575,TRUE,FALSE,84.51,189000,4,38100,-0.5,5.2,28.76,Grenoble,medium,1
Jun-22,2975,Stayed the same,26/06/2022,187631215,TRUE,FALSE,40,119000,2,21000,-0.5,5.2,28.76,Dijon,small,1
Jun-22,1199.113261,Stayed the same,26/06/2022,181502723,FALSE,FALSE,99.24,119000,5,21300,-0.5,5.2,28.76,Dijon,medium,1
Jun-22,3291.666667,Stayed the same,26/06/2022,187573111,FALSE,FALSE,60,197500,2,21000,-0.5,5.2,28.76,Dijon,medium,1
Jun-22,2130.952381,Stayed the same,26/06/2022,187746875,FALSE,FALSE,42,89500,2,21600,-0.5,5.2,28.76,Dijon,medium,1
Jun-22,937.5,Stayed the same,26/06/2022,186224337,TRUE,FALSE,80,75000,4,21130,-0.5,5.2,28.76,Dijon,medium,1
Jun-22,4204.398448,Increased,26/06/2022,184537289,FALSE,FALSE,61.84,260000,3,21240,-0.5,5.2,28.76,Dijon,medium,1
Jun-22,4195.459033,Increased,26/06/2022,184537163,FALSE,FALSE,60.78,255000,3,21240,-0.5,5.2,28.76,Dijon,large,1
Jun-22,4940.343028,Increased,26/06/2022,184537551,FALSE,FALSE,107.28,530000,5,21240,-0.5,5.2,28.76,Dijon,medium,1
